시점,행정동,성별,나이,인구수
2023-07-15,광명2동,남자,3,3
2023-07-15,광명2동,남자,4,2
2023-07-15,광명2동,남자,5,6
2023-07-15,광명2동,남자,6,4
2023-07-15,광명2동,남자,7,6
2023-07-15,광명2동,남자,8,4
2023-07-15,광명2동,남자,9,7
2023-07-15,광명2동,남자,10,11
2023-07-15,광명2동,남자,11,6
2023-07-15,광명2동,남자,12,4
2023-07-15,광명2동,남자,13,6
2023-07-15,광명2동,남자,14,8
2023-07-15,광명2동,남자,15,6
2023-07-15,광명2동,남자,16,6
2023-07-15,광명2동,남자,17,9
2023-07-15,광명2동,남자,18,5
2023-07-15,광명2동,남자,19,18
2023-07-15,광명2동,남자,20,7
2023-07-15,광명2동,남자,21,17
2023-07-15,광명2동,남자,22,14
2023-07-15,광명2동,남자,23,20
2023-07-15,광명2동,남자,24,16
2023-07-15,광명2동,남자,25,14
2023-07-15,광명2동,남자,26,23
2023-07-15,광명2동,남자,27,23
2023-07-15,광명2동,남자,28,19
2023-07-15,광명2동,남자,29,25
2023-07-15,광명2동,남자,30,26
2023-07-15,광명2동,남자,31,23
2023-07-15,광명2동,남자,32,27
2023-07-15,광명2동,남자,33,12
2023-07-15,광명2동,남자,34,21
2023-07-15,광명2동,남자,35,12
2023-07-15,광명2동,남자,36,22
2023-07-15,광명2동,남자,37,22
2023-07-15,광명2동,남자,38,17
2023-07-15,광명2동,남자,39,17
2023-07-15,광명2동,남자,40,21
2023-07-15,광명2동,남자,41,23
2023-07-15,광명2동,남자,42,13
2023-07-15,광명2동,남자,43,25
2023-07-15,광명2동,남자,44,15
2023-07-15,광명2동,남자,45,21
2023-07-15,광명2동,남자,46,19
2023-07-15,광명2동,남자,47,19
2023-07-15,광명2동,남자,48,16
2023-07-15,광명2동,남자,49,23
2023-07-15,광명2동,남자,50,34
2023-07-15,광명2동,남자,51,29
2023-07-15,광명2동,남자,52,26
2023-07-15,광명2동,남자,53,22
2023-07-15,광명2동,남자,54,27
2023-07-15,광명2동,남자,55,25
2023-07-15,광명2동,남자,56,16
2023-07-15,광명2동,남자,57,25
2023-07-15,광명2동,남자,58,35
2023-07-15,광명2동,남자,59,33
2023-07-15,광명2동,남자,60,41
2023-07-15,광명2동,남자,61,26
2023-07-15,광명2동,남자,62,37
2023-07-15,광명2동,남자,63,35
2023-07-15,광명2동,남자,64,21
2023-07-15,광명2동,남자,65,23
2023-07-15,광명2동,남자,66,25
2023-07-15,광명2동,남자,67,19
2023-07-15,광명2동,남자,68,28
2023-07-15,광명2동,남자,69,22
2023-07-15,광명2동,남자,70,23
2023-07-15,광명2동,남자,71,28
2023-07-15,광명2동,남자,72,16
2023-07-15,광명2동,남자,73,12
2023-07-15,광명2동,남자,74,9
2023-07-15,광명2동,남자,75,15
2023-07-15,광명2동,남자,76,23
2023-07-15,광명2동,남자,77,15
2023-07-15,광명2동,남자,78,17
2023-07-15,광명2동,남자,79,9
2023-07-15,광명2동,남자,80,15
2023-07-15,광명2동,남자,81,12
2023-07-15,광명2동,남자,82,2
2023-07-15,광명2동,남자,83,9
2023-07-15,광명2동,남자,84,5
2023-07-15,광명2동,남자,85,5
2023-07-15,광명2동,남자,86,2
2023-07-15,광명2동,남자,87,2
2023-07-15,광명2동,남자,88,1
2023-07-15,광명2동,남자,89,2
2023-07-15,광명2동,남자,90,1
2023-07-15,광명2동,남자,91,1
2023-07-15,광명2동,남자,92,2
2023-07-15,광명2동,남자,93,0
2023-07-15,광명2동,남자,94,1
2023-07-15,광명2동,남자,95,0
2023-07-15,광명2동,남자,96,0
2023-07-15,광명2동,남자,97,0
2023-07-15,광명2동,남자,98,0
2023-07-15,광명2동,남자,99,0
2023-07-15,광명2동,남자,100,0
2023-07-15,광명2동,여자,0,3
2023-07-15,광명2동,여자,1,4
2023-07-15,광명2동,여자,2,5
2023-07-15,광명2동,여자,3,2
2023-07-15,광명2동,여자,4,3
2023-07-15,광명2동,여자,5,2
2023-07-15,광명2동,여자,6,8
2023-07-15,광명2동,여자,7,3
2023-07-15,광명2동,여자,8,2
2023-07-15,광명2동,여자,9,4
2023-07-15,광명2동,여자,10,4
2023-07-15,광명2동,여자,11,6
2023-07-15,광명2동,여자,12,17
2023-07-15,광명2동,여자,13,11
2023-07-15,광명2동,여자,14,5
2023-07-15,광명2동,여자,15,10
2023-07-15,광명2동,여자,16,9
2023-07-15,광명2동,여자,17,7
2023-07-15,광명2동,여자,18,8
2023-07-15,광명2동,여자,19,9
2023-07-15,광명2동,여자,20,11
2023-07-15,광명2동,여자,21,13
2023-07-15,광명2동,여자,22,10
2023-07-15,광명2동,여자,23,14
2023-07-15,광명2동,여자,24,13
2023-07-15,광명2동,여자,25,17
2023-07-15,광명2동,여자,26,21
2023-07-15,광명2동,여자,27,16
2023-07-15,광명2동,여자,28,18
2023-07-15,광명2동,여자,29,17
2023-07-15,광명2동,여자,30,17
2023-07-15,광명2동,여자,31,19
2023-07-15,광명2동,여자,32,18
2023-07-15,광명2동,여자,33,11
